id,name,register_date,followed_by,followers_count
786179660350574592,Ryan Todd,Wed Oct 12 12:20:12 +0000 2016,"QwQiao, KyleSamani, Darrenlautf, 0xminion, janehk, Daryllautk, masonnystrom, Mikey0x_, panekkkk, lmrankhan, j0hnwang, 0xMaki, ceterispar1bus, alexgedevani, MariaShen, zacxbt, roybitsir, tomhschmidt, kapursanat",19
846129689399824384,Flo,Sun Mar 26 22:40:13 +0000 2017,"QwQiao, KyleSamani, Darrenlautf, 0xminion, reganbozman, Daryllautk, masonnystrom, amanda0x, j0hnwang, lapgandhi, 0xMaki, ceterispar1bus, Solofunk30, alexgedevani, MariaShen, AustinBarack, delitzer, tomhschmidt, kapursanat",19
1833946076,neil,Sun Sep 08 20:09:56 +0000 2013,"KyleSamani, OmniscientAsian, Darrenlautf, 0xminion, ishanee_, janehk, rishisthinking, YeouJie, BigBrainKasey, Yedidbotton, j0hnwang, CryptoSources, jennyqcheng, lapgandhi, sjrosenblum, ceterispar1bus, n4motto, alexgedevani, tomhschmidt",19
36425256,Happy Norswap 🤠🏴‍☠️✨,Wed Apr 29 17:58:46 +0000 2009,"KyleSamani, grisacerne, 0xminion, Daryllautk, 0xRainandCoffee, sandraaleow, andyisnotandy, pet3rpan_, 0xKofi, Louissongyz, tkstanczak, notnotstorm, j0hnwang, lapgandhi, 0xMaki, samoyedali, n4motto, kapursanat, 0xbilly",19
1427220791951822848,devloper,Mon Aug 16 10:48:53 +0000 2021,"KyleSamani, grisacerne, OmniscientAsian, Darrenlautf, 0xminion, janehk, rishisthinking, Daryllautk, 0xRainandCoffee, bridge__harris, Louissongyz, _weidai, lapgandhi, yekiM_o, samoyedali, caitlinxyz, roybitsir, delitzer, GrantStenger",19
1126018087,tom 🐵,Sun Jan 27 19:36:30 +0000 2013,"KyleSamani, OmniscientAsian, Darrenlautf, 0xminion, janehk, Daryllautk, sandraaleow, YeouJie, j0hnwang, 0xMaki, sjrosenblum, 0xChanglu, gakonst, alexgedevani, jnwng, thetinaverse, AustinBarack, roybitsir, kapursanat",19
1282508255797755904,UXD,Mon Jul 13 02:52:58 +0000 2020,"KyleSamani, OmniscientAsian, 0xminion, kidponga, janehk, lmrankhan, j0hnwang, lapgandhi, Sh_ivam, 0xMaki, samoyedali, NaytheForceBwU, jnwng, MariaShen, zacxbt, roybitsir, GrantStenger, tomhschmidt, kapursanat",19
1307002014921101313,FLAMINGO 🦩,Fri Sep 18 17:02:29 +0000 2020,"KyleSamani, 0xminion, janehk, masonnystrom, andyisnotandy, benlakoff, caseykcaruso, j0hnwang, krybharat, 0xMaki, sjrosenblum, yekiM_o, 0xChanglu, alexgedevani, MariaShen, zacxbt, AustinBarack, roybitsir, 0xbilly",19
314777746,SuperRare John 💎,Fri Jun 10 19:59:44 +0000 2011,"KyleSamani, NTmoney, Darrenlautf, 0xminion, janehk, sandraaleow, masonnystrom, pet3rpan_, OuroborosCap8, panekkkk, j0hnwang, krybharat, cooper_kunz, 0xMaki, yekiM_o, 0xChanglu, zacxbt, tomhschmidt, 0xbilly",19
398148139,Austin,Tue Oct 25 17:01:16 +0000 2011,"KyleSamani, Darrenlautf, 0xminion, ishanee_, janehk, Daryllautk, sandraaleow, YeouJie, andyisnotandy, BigBrainKasey, OuroborosCap8, Shaughnessy119, lmrankhan, j0hnwang, jnwng, MariaShen, AustinBarack, GrantStenger, kapursanat, 0xbilly",20
15253843,Emiliano Bonassi,Fri Jun 27 11:12:53 +0000 2008,"KyleSamani, Darrenlautf, 0xminion, andyisnotandy, benlakoff, 0xKofi, notnotstorm, _weidai, ncerovac, lapgandhi, Sh_ivam, 0xMaki, ceterispar1bus, samoyedali, caitlinxyz, gakonst, roybitsir, delitzer, kapursanat",19
