id,name,register_date,followed_by,followers_count
1336191614356742144,tervo,Tue Dec 08 06:12:15 +0000 2020,"KyleSamani, Darrenlautf, 0xminion, reganbozman, 0xRainandCoffee, andyisnotandy, eclecticcapital, amanda0x, lmrankhan, j0hnwang, krybharat, CryptoSources, 0xdetweiler, ceterispar1bus, alexgedevani, NaytheForceBwU, mattyryze, zacxbt, GrantStenger",19
1448644422380310537,Tom Wan,Thu Oct 14 13:38:45 +0000 2021,"KyleSamani, grisacerne, 0xminion, sandraaleow, andyisnotandy, 0xKofi, OuroborosCap8, notnotstorm, Sh_ivam, 0xMaki, ceterispar1bus, Solofunk30, alexgedevani, NaytheForceBwU, mattyryze, zacxbt, AustinBarack, delitzer, tomhschmidt",19
1195055776471175169,brain genius,Thu Nov 14 19:07:58 +0000 2019,"KyleSamani, NTmoney, reganbozman, sandraaleow, YeouJie, benlakoff, cosmo_jiang, j0hnwang, CryptoSources, HoolieG, 0xdetweiler, alexgedevani, MariaShen, mattyryze, zacxbt, AustinBarack, roybitsir, kapursanat, 0xbilly",19
36425256,Happy Norswap 🤠🏴‍☠️✨,Wed Apr 29 17:58:46 +0000 2009,"KyleSamani, grisacerne, 0xminion, Daryllautk, 0xRainandCoffee, sandraaleow, andyisnotandy, pet3rpan_, 0xKofi, Louissongyz, tkstanczak, notnotstorm, j0hnwang, lapgandhi, 0xMaki, samoyedali, n4motto, kapursanat, 0xbilly",19
206935193,David Attermann,Sun Oct 24 03:01:23 +0000 2010,"KyleSamani, kidponga, 0xRainandCoffee, YeouJie, masonnystrom, andyisnotandy, cosmo_jiang, robbiepetersen_, Shaughnessy119, amanda0x, firstc0in, krybharat, jonathankingvc, ceterispar1bus, Solofunk30, alexgedevani, mattyryze, zacxbt, AustinBarack",19
1512518742051237893,DRiP 💧,Fri Apr 08 19:52:34 +0000 2022,"KyleSamani, kidponga, janehk, reganbozman, sandraaleow, andyisnotandy, BigBrainKasey, eclecticcapital, j0hnwang, krybharat, jonathankingvc, lapgandhi, Sh_ivam, alexgedevani, NaytheForceBwU, jnwng, mattyryze, zacxbt, AustinBarack",19
763026986600194052,Omer Goldberg,Tue Aug 09 14:59:44 +0000 2016,"KyleSamani, 0xminion, janehk, rishisthinking, panekkkk, Shaughnessy119, firstc0in, lmrankhan, j0hnwang, jonathankingvc, lapgandhi, 0xMaki, sjrosenblum, MariaShen, mattyryze, zacxbt, roybitsir, delitzer, GrantStenger",19
1175974820858798083,seth bloomberg,Mon Sep 23 03:27:41 +0000 2019,"KyleSamani, Darrenlautf, 0xRainandCoffee, YeouJie, masonnystrom, eclecticcapital, Shaughnessy119, amanda0x, jonathankingvc, Sh_ivam, HoolieG, Solofunk30, alexgedevani, NaytheForceBwU, mattyryze, zacxbt, AustinBarack, gregohr12, tomhschmidt",19
161682347,Peter | Reservoir,Thu Jul 01 13:45:16 +0000 2010,"KyleSamani, 0xminion, masonnystrom, pet3rpan_, 0xKofi, AliceL991, amanda0x, 0xMaki, HoolieG, 0xdetweiler, yekiM_o, caitlinxyz, alexgedevani, MariaShen, mattyryze, zacxbt, delitzer, tomhschmidt, kapursanat",19
1407411848446611459,Solana Foundation,Tue Jun 22 18:55:13 +0000 2021,"KyleSamani, 0xminion, janehk, sandraaleow, amanda0x, j0hnwang, sjdedic, jonathankingvc, Sh_ivam, 0xMaki, 0xChanglu, Solofunk30, NaytheForceBwU, jnwng, mattyryze, zacxbt, AustinBarack, roybitsir, GrantStenger",19
